    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
   57,     0.342,     0.684,        0,     8399,   0.3000,    53670,      237,     0000,        0,        0,        0,        0,    55406,    55151,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    13809,    31589,    21282,   107837,      461,      614,   162108,     1293,     1322,   108772,   191335,   318982,     1793,     1837,    86753,   383436,        0,        0,        0
   58,     0.348,     0.696,        1,     8408,   0.3000,    53714,      236,     0000, 0.00011893435,        0,        0,        1,    55424,    55218,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     7699,    19093,    43447,    58826,      441,      445,   122558,     1213,     1123,   111665,   183198,   280949,     1655,     1623,    77125,   305524,        0,        0,        0
   59,     0.354,     0.708,        0,     8405,   0.3000,    53725,      236,     0000,        0,        0,        0,        0,    55429,    55238,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    14385,    34938,    65713,    23798,      398,      375,   125443,     1047,     1042,   101079,   149466,   252906,     1504,     1483,    67427,   232865,        0,        0,        0
   60,      0.36,      0.72,        1,     8382,   0.3000,    53695,      236,     0000, 0.00011930327,        0,        0,        1,    55431,    55176,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    29093,    67378,    77917,    21401,      468,      341,   167748,      998,      872,    83965,   102979,   253806,     1379,     1338,    61135,   164299,        0,        0,        0
   61,     0.366,     0.732,        0,     8385,   0.3000,    53709,      236,     0000,        0,        0,        0,        0,    55354,    55276,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    42992,    98311,    74969,    48634,      464,      407,   223060,      877,      843,    67938,    69147,   282158,     1254,     1257,    58791,   115974,        0,        0,        0
   62,     0.372,     0.744,        0,     8398,   0.3000,    53770,      236,     0000,        0,        0,        0,        0,    55372,    55385,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    50528,   114407,    62396,    89888,      442,      388,   267878,      790,      738,    59598,    65428,   327541,     1127,     1088,    59492,    88145,        0,        0,        0
   63,     0.378,     0.756,        0,     8390,   0.3000,    53794,      236,     0000,        0,        0,        0,        0,    55418,    55388,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    47648,   108214,    44495,   123146,      371,      369,   276965,      728,      720,    59374,    94183,   360982,     1022,      996,    59013,    82228,        0,        0,        0
   64,     0.384,     0.768,        0,     8410,   0.3000,    53789,      236,     0000,        0,        0,        0,        0,    55461,    55338,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    39206,    88422,    31965,   133929,      328,      381,   255424,      662,      684,    64267,   140975,   373657,      955,      996,    55219,    91440,        0,        0,        0
   65,      0.39,      0.78,        0,     8398,   0.3000,    53824,      236,     0000,        0,        0,        0,        0,    55516,    55352,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    27898,    63059,    27870,   122227,      250,      319,   214122,      619,      631,    68922,   183199,   357788,      915,      951,    47809,   108506,        0,        0,        0
   66,     0.396,     0.792,        0,     8419,   0.3000,    53794,      236,     0000,        0,        0,        0,        0,    55546,    55266,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    20474,    46678,    32638,    94193,      277,      297,   174373,      633,      622,    69510,   198504,   321453,      858,      898,    38762,   121207,        0,        0,        0
   67,     0.402,     0.804,        0,     8394,   0.3000,    53730,      237,     0000,        0,        0,        0,        0,    55466,    55219,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    18297,    41505,    39700,    66189,      236,      266,   148142,      564,      616,    61971,   187278,   278382,      789,      840,    28267,   126999,        0,        0,        0
   68,     0.408,     0.816,        0,     8419,   0.3000,    53715,      235,     0000,        0,        0,        0,        1,    55385,    55266,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    21322,    48932,    45269,    49212,      243,      269,   144181,      553,      572,    49613,   156183,   246833,      760,      743,    19765,   123641,        0,        0,        0
